index,totalseconds,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13_Row1,Q13_Row2,Q13_Row3,Q13_Row4,Q13_Row5,Q13_Row6,Q13_Row7,Q13_Row8,Q13_Row9,Q13_Row10,Q13_Row11,Q13_Row12,Q13_Row13,Q13_Row14,Q13_Row15,Q13_Row16,Q13_Row17,Q13_Row18,Q13_Row19,Q13_Row20,Q13_Row21,Q13_Row22,Q13_Row23,Q13_Row24,Q13_Row25,Q13_Row26,Q13_Row27,Q13_Row28,Q13_Row29,totalvalue,最后一个基本个案
31,164,2,-3,-3,-3,-3,-3,2,1,2,2,2,1,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,2,4,3,3,4,4,3,3,4,4,4,4,4,104,0
217,172,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,4,4,2,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,104,0
65,175,2,-3,-3,-3,-3,-3,1,4,1,2,1,1,2,3,3,3,4,4,4,3,2,3,4,3,4,3,4,4,4,4,4,4,4,4,3,1,3,4,4,4,4,104,0
59,189,2,-3,-3,-3,-3,-3,2,1,1,5,1,1,4,4,4,3,4,3,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,3,3,3,4,3,4,4,4,104,0
231,241,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,3,3,4,4,4,4,3,3,3,3,4,3,2,3,4,4,3,4,4,4,3,1,3,4,4,4,4,104,0
164,297,2,-3,-3,-3,-3,-3,1,3,1,3,1,1,4,3,4,3,4,4,3,4,3,5,3,4,3,4,3,4,4,2,4,3,4,5,3,4,5,4,5,5,4,104,0
262,303,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,3,4,4,4,4,3,4,2,2,3,4,4,4,2,4,5,5,2,3,4,4,2,1,3,3,4,3,4,104,0
219,231,2,-3,-3,-3,-3,-3,1,5,1,3,1,1,4,5,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,105,0
66,222,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,3,3,3,3,4,4,3,3,3,3,5,4,4,4,3,4,4,4,3,4,3,4,2,1,3,4,4,3,4,105,0
122,224,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,3,3,4,4,3,3,2,4,4,4,3,4,105,0
130,279,2,-3,-3,-3,-3,-3,1,3,1,2,1,1,4,4,3,3,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,3,4,105,0
292,62,1,2,2,1,1,2,-3,-3,-3,-3,-3,-3,4,4,4,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,105,0
248,352,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,4,3,3,3,2,4,3,4,4,4,3,4,3,4,3,4,4,4,4,3,3,5,2,1,4,5,4,5,3,106,0
233,265,2,-3,-3,-3,-3,-3,2,3,1,1,1,1,4,3,3,3,4,3,3,3,4,4,3,4,4,4,3,3,4,4,3,4,4,4,1,1,3,4,4,3,4,106,0
246,336,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,4,3,4,4,4,4,4,3,3,4,4,4,4,2,3,3,4,4,3,4,4,2,2,4,4,4,4,4,106,0
22,94,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,106,0
60,95,2,-3,-3,-3,-3,-3,2,1,1,4,1,1,4,4,4,3,4,3,3,3,3,3,4,3,5,4,3,4,4,4,4,4,4,4,3,2,3,4,3,4,4,106,0
149,108,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,3,107,0
